party_id,as_filed,qid,wd_label,wd_description,p31,mark,mapped_type
8043,Department Of Defense,Q1788820,defence ministry,type of ministry responsible for the armed forces and related agencies,,,
4613,Florida Department Of State Division Of Historical Resources,,,,,,
5138,"Gaston County North Carolina,",,,,,,
764,Grand County Board of Commissioners Colorado,,,,,,
3401,Green Hills Regional Planning Commission,,,,,,
1743,Hancock County Port,,,,,,
2065,Hennepin County,Q486229,Hennepin County,"county in Minnesota, United States",Q12262532,,
1844,Humboldt County Association of Governments,,,,,,
3563,Jackson County Port Authority,,,,,,
7930,Letcher County Fiscal Court,,,,,,
6340,Mayor Of The City Of Mitchell,,,,,,
4308,Medina County Environmental Action Association,,,,,,
5104,Mercer County Improvement Authority,Q127925747,Mercer County Improvement Authority,"government agency for utilities in Bergen County, New Jersey",Q327333,,government
6667,Monroe County Industrial Development Corporation,,,,,,
6562,New Castle-Henry County Economic Development Corporation,,,,,,
9701,New York State Public Service Commission,Q63917806,New York State Public Service Commission Files (NAID 1225531),series in the National Archives and Records Administration's holdings,Q2668072,,
662,North Carolina Department of Transportation,Q3438398,North Carolina Department of Transportation,"government agency in North Carolina, United States connecting people, products and places",Q97010948|Q133309046,,
5995,Pennsylvania Department Of Conservation And Natural Resources,Q7163704,Pennsylvania Department of Conservation and Natural Resources,department within the government of the U.S. state of Pennsylvania,Q327333,,government
6592,Port Of Miami,Q629042,Port of Miami,2006 studio album by Rick Ross,Q482994,,
666,Schuylkill River Passenger Rail Authority,,,,,,
4299,State Of Georgia,Q1428,Georgia,state of the United States of America,Q35657,,government
5175,State Of New Hampshire Department Of Transportation,,,,,,
6277,State Of New York Office Of The Attorney General,,,,,,
4948,State Of Washington,Q1223,Washington,state of the United States of America,Q35657,,government
961,The State of Ohio,Q101353460,The State of Ohio,podcast from 90.3 WCPN ideastream,Q24634210,,
1083,United States Steel Corporation,Q72539,U.S. Steel,US steel-producing company,Q4830453|Q6881511|Q891723,,company
878,Utah Department of Transportation,Q2506783,Utah Department of Transportation,"government agency of Utah, United States",Q97010948,,
5759,Village Of Oswego,,,,,,
320,Virginia Port Authority,Q7934459,Virginia Port Authority,autonomous agency of the Commonwealth of Virginia,Q327333|Q125221287,,government
742,Baker & Miller PLLC,,,,,,
5383,Balch & Bingham Llp,,,,,,
10067,Braymer Law Pllc,,,,,,
8313,"Co-Alliance, Llp",,,,,,
5966,"Consultant Group Of Hecking & Remington, Llp",,,,,,
2643,Dentons US LLP,,,,,,
5182,Harkins Cunningham Llp,,,,,,
9817,Hogan Lovells Us Llp,,,,,,
4047,Kirkpatrick & Lockhart Llp,,,,,,
1586,"Law Office of Thomas W. Wilcox, LLC",,,,,,
138,Mullins Law Group PLLC,,,,,,
3430,Oxyvinyls Llp,,,,,,
2747,Slover & Loftus LLP,,,,,,
1374,Steptoe & Johnson LLP,Q17109287,Steptoe & Johnson,"international law firm headquartered in Washington, D.C",Q4830453|Q613142,,company
5186,Troutman Sanders Llp,Q7846641,Troutman Sanders,American law firm founded in 1897,Q4830453|Q6881511|Q613142,,company
1292,Alabama & Gulf Coast Railway LLC,Q2636301,Alabama and Gulf Coast Railway,railroad in Southern United States,Q249556,,railroad
4611,American Orient Express Railway Company Llc,,,,,,
7928,"Buckeye Railroad Holdings, Llc",,,,,,
9888,C & C Railroad Llc,,,,,,
338,California Northern Railroad Company,Q5020717,California Northern Railroad,class III line up the western Sacramento Valley,Q249556,,railroad
3447,Canadian Pacific Railway Company-Delaware And Hudson Railway Company Inc-Soo Line Corp,,,,,,
7926,Cbec Railway Inc,,,,,,
9531,Chattooga & Chickamauga Railway Company,,,,,,
4745,Columbus & Ohio River Rail Road Company,,,,,,
657,"Connecticut Southern Railroad, Inc.",Q5161611,Connecticut Southern Railroad,Freight railroad in Connecticut and Massachusetts,Q249556,,railroad
2852,Connersville Northern Railroad LLC,,,,,,
8630,"Csx Transportation, Inc. And The Three Rivers Railway Company",,,,,,
8096,D/B/A Yadkin Valley Railroad Company,,,,,,
3660,Georgetown Railroad Company,Q5547038,Georgetown Railroad,,Q249556,,railroad
6117,"Grand Elk Railroad, L.L.C.",Q5594525,Grand Elk Railroad,"class III railroad in Indiana and Michigan, USA",Q249556,,railroad
7937,Grand Trunk Western Railroad Company And Illinois Central Railroad Company,,,,,,
1771,Gulf & Ship Island Railroad LLC,Q19067144,Gulf & Ship Island Railroad Company v. Hewes,United States Supreme Court case,Q19692072|Q2334719,,
308,"HGS Railway Holdings, Inc.",,,,,,
4565,Heart Of Georgia Railroad Inc,Q5692273,Heart of Georgia Railroad,railway line in the United States of America,Q728937,,
8207,"Inc.Luzerne And Susquehanna Railway CompanyMeridian Southern Railway LlcLehigh Railway, Llc",,,,,,
7362,Maryland & Pennsylvania Railroad Preservation Society,,,,,,
4996,Maryland And Delaware Railroad Company,Q6781532,Maryland and Delaware Railroad,railway line in the United States of America,Q728937,,
3984,"Mid-America Development Company & Mid-America Railroad, Llc",,,,,,
1978,"Missouri Eastern Railroad, LLC",Q111939610,Missouri Eastern Railroad,American shortline railroad,Q249556,,railroad
6448,Nebraska Railroad Museum,Q116044747,Nebraska Railroad Museum,railway Museum in Nebraska,Q33506,,
4444,New Orleans And Gulf Coast Railway Company Inc,,,,,,
4300,New York And Eastern Railway Llc,,,,,,
3851,New York Cross Harbor Railroad Terminal Corporation,,,,,,
891,Northeast Texas Railway Company,,,,,,
4620,Northern Central Railroad,Q19077847,Northern Central Railroad Company v. Jackson,United States Supreme Court case,Q19692072|Q2334719,,
7590,"Pecos Valley Permian Railroad, L.L.C.",,,,,,
1936,"Pioneer Valley Railroad Company, Inc.",,,,,,
